game_date,team_name,team_venue,possessionPercentage,shotsTotal,shotsOnTarget,shotsOffTarget,shotsBlocked,shotsSaved,foulsCommitted,cornersWon,touchesInBox,aerialsWon,subsMade,attack.shotsTotal,attack.shotsOnTarget,attack.shotsOffTarget,attack.shotsBlocked,attack.cornersWon,attackOffside,attackCross,attack.attemptsOutOfBox,attack.attemptsInBox,attack.bigChanceCreated,attack.bigChanceScored,attack.hitWoodwork,attack.shotsOpenPlayOrFastBreak,distribution.touches,distribution.touchesInBox,distributionPass,distribution.accuratePass,distribution.backwardPass,distribution.forwardPass,distribution.passesRight,distribution.passesLeft,distributionLongBalls,distribution.successfulFinalThirdPasses,distributionOffside,distribution.dispossessed,distributionCross,goalkeeper.shotsSaved,goalkeeper.divingSave,goalkeeper.keeperThrows,goalkeeper.goalKicks,goalkeeper.savedShotFromOutsideBox,defence.foulsCommitted,defenceTackle,defence.wonTackle,defenceYellowCard,defenceClearance,defence.headClearance,defence.duelWon,defence.duelLost,defence.aerialWon,defence.aerialLost,goalkeeper.savedShotFromInsideBox,attack.bigChanceMissed,goalkeeper.punches,attack.oneOnOneAttempts,defence.clearanceOffLine,defence.errorLeadToShot
2020-10-17,Tranmere Rovers,away,45.5,6,0,3.0,3.0,3,17,1,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,Tranmere Rovers,home,42.9,5,1,3.0,1.0,3,11,2,8.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,Leyton Orient,away,57.1,17,4,9.0,4.0,1,5,7,33.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Tranmere Rovers,home,46.8,10,4,4.0,2.0,2,15,5,13.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Southend United,away,53.2,12,2,5.0,5.0,2,14,8,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,Crawley Town,home,48.8,19,6,5.0,8.0,0,17,5,26.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,Tranmere Rovers,away,51.2,6,0,4.0,2.0,2,19,4,5.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,Tranmere Rovers,home,62.5,13,1,9.0,3.0,1,13,4,16.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,Morecambe,away,37.5,13,2,10.0,1.0,1,9,4,19.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-03,Harrogate Town,home,49.6,9,1,4.0,4.0,1,16,11,14.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-03,Tranmere Rovers,away,50.4,11,2,5.0,4.0,1,12,4,17.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07,Tranmere Rovers,home,53.0,9,5,3.0,1.0,4,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07,Accrington Stanley,away,47.0,18,5,6.0,7.0,3,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11,Tranmere Rovers,home,56.0,11,6,3.0,2.0,4,14,3,13.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11,Wigan Athletic,away,44.0,11,6,3.0,2.0,3,9,4,18.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,Port Vale,home,31.7,8,4,1.0,3.0,2,19,2,17.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,Tranmere Rovers,away,68.3,15,6,5.0,4.0,1,15,5,16.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,Tranmere Rovers,home,55.2,9,6,2.0,1.0,0,13,2,16.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,Grimsby Town,away,44.8,9,0,4.0,5.0,1,21,5,17.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,Tranmere Rovers,home,64.7,7,3,3.0,1.0,2,14,6,13.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,Carlisle United,away,35.3,12,2,5.0,5.0,2,14,8,24.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27,Tranmere Rovers,home,66.7,14,2,6.0,6.0,0,12,4,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27,Brackley Town,away,33.3,9,0,6.0,3.0,1,12,3,24.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,Oldham Athletic,home,53.0,10,2,4.0,4.0,1,16,4,7.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
