game_date,team_name,player_name,bbc_player_id,goal_min,goal_min_inj,goal_type
2024-10-01,Tranmere Rovers,K. Dennis,s-9cxi2qzpa1d00mep1n2b0uv2t,17,,Goal
2024-10-01,Swindon Town,C. Merrie,s-c9yuyh2p038inq1kj79sjofe,54,,Own Goal
2024-10-05,Milton Keynes Dons,J. White,s-awx668jrec0gnqk5gyg7o0oyy,23,,Goal
2024-10-05,Tranmere Rovers,R. Hendry,s-693vankfkq50hufuwcz7hu8r9,90,1,Goal
2024-10-08,Tranmere Rovers,J. Hawkes,s-dfm4vwns596gts9uebkw3eh2h,49,,Goal
2024-10-08,Tranmere Rovers,S. Taylor,s-42rr7g3qbbn9dyvkxiyvbhdlg,75,,Goal
2024-10-08,Accrington Stanley,A. Popoola,s-bcj2m5fxvggdvlc614l0wljis,90,,Goal
2024-10-12,Bradford City,A. Cook,s-dz0c4z5rx225rb828ceeygdzp,23,,Goal
2024-10-12,Bradford City,A. Cook,s-dz0c4z5rx225rb828ceeygdzp,72,,Goal
2024-10-19,Bromley,L. Dennis,s-670ul1l3rksjunjkagx5p19sl,90,6,Goal
2024-10-19,Tranmere Rovers,O. Patrick,s-4k6nbdla5or3o2bdgfal2c355,75,,Goal
2024-10-19,Tranmere Rovers,H. Saunders,s-ax2mraa85fs9ihyhk7qnmm489,80,,Goal
2024-10-22,Grimsby Town,J. Obikwu,s-6w27tc2ri3dzrwh9bgoliyexg,59,,Goal
2024-10-26,Crewe Alexandra,S. Tracey,s-4lws9jepuxzs33zbt3w1ff9ih,39,,Goal
2024-10-26,Crewe Alexandra,S. Tracey,s-4lws9jepuxzs33zbt3w1ff9ih,54,,Goal
2024-10-26,Crewe Alexandra,J. Tabiner,s-3gwu0htvnff6ock9nl8zs1e6s,84,,Goal
2024-10-26,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,8,,Goal
2024-11-09,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,41,,Goal
2024-11-09,Tranmere Rovers,K. Morris,s-3gffyf2cg2ur4q1oobe8yoy51,58,,Goal
2024-11-09,Newport County,K. Hudlin,s-ea6ldebpbt2v551x1sj93qlg4,84,,Goal
